concept_id,concept_name,domain_id,vocabulary_id,standard_concept
4030582,Postoperative myocardial infarction,Condition,SNOMED,standard
4051874,Acute myocardial infarction of posterolateral wall,Condition,SNOMED,standard
4108217,Subsequent myocardial infarction,Condition,SNOMED,standard
4108218,Subsequent myocardial infarction of inferior wall,Condition,SNOMED,standard
4108219,Rupture of chordae tendinae due to and following acute myocardial infarction,Condition,SNOMED,standard
4108669,Acute myocardial infarction of atrium,Condition,SNOMED,standard
4108677,Subsequent myocardial infarction of anterior wall,Condition,SNOMED,standard
4108678,Hemopericardium due to and following acute myocardial infarction,Condition,SNOMED,standard
4108679,Rupture of cardiac wall without hemopericardium as current complication following acute myocardial infarction,Condition,SNOMED,standard
4108680,"Thrombosis of atrium, auricular appendage, and ventricle due to and following acute myocardial infarction",Condition,SNOMED,standard
4119456,Acute non-Q wave infarction - anteroseptal,Condition,SNOMED,standard
4119457,Acute Q wave infarction - anterolateral,Condition,SNOMED,standard
4119943,Acute Q wave infarction - anteroseptal,Condition,SNOMED,standard
4119944,Acute non-Q wave infarction - anterolateral,Condition,SNOMED,standard
4119945,Acute non-Q wave infarction - inferior,Condition,SNOMED,standard
4119946,Acute non-Q wave infarction - inferolateral,Condition,SNOMED,standard
4119947,Acute widespread myocardial infarction,Condition,SNOMED,standard
4119948,Acute Q wave infarction - widespread,Condition,SNOMED,standard
4121464,Acute Q wave infarction - inferior,Condition,SNOMED,standard
4121465,Acute Q wave infarction - inferolateral,Condition,SNOMED,standard
4121466,Acute non-Q wave infarction - lateral,Condition,SNOMED,standard
4124684,Acute Q wave infarction - lateral,Condition,SNOMED,standard
4124685,Acute non-Q wave infarction - widespread,Condition,SNOMED,standard
4124687,Cardiac rupture due to and following acute myocardial infarction,Condition,SNOMED,standard
4126801,Acute Q wave myocardial infarction,Condition,SNOMED,standard
4145721,Acute non-Q wave infarction,Condition,SNOMED,standard
4147223,Rupture of ventricle due to acute myocardial infarction,Condition,SNOMED,standard
4151046,Acute myocardial infarction of basal-lateral wall,Condition,SNOMED,non-standard
4154704,Myocardial infarction with complication,Condition,SNOMED,non-standard
4170094,Myocardial infarction in recovery phase,Condition,SNOMED,standard
4173632,Microinfarct of heart,Condition,SNOMED,standard
4178129,Acute anteroapical myocardial infarction,Condition,SNOMED,standard
4200113,Non-Q wave myocardial infarction,Condition,SNOMED,standard
4206867,Postoperative subendocardial myocardial infarction,Condition,SNOMED,standard
4207921,Postoperative transmural myocardial infarction of anterior wall,Condition,SNOMED,standard
4209541,Postoperative transmural myocardial infarction of inferior wall,Condition,SNOMED,standard
4215259,First myocardial infarction,Condition,SNOMED,standard
4243372,Acute myocardial infarction of apical-lateral wall,Condition,SNOMED,standard
4267568,Acute anteroseptal myocardial infarction,Condition,SNOMED,standard
4270024,Acute non-ST segment elevation myocardial infarction,Condition,SNOMED,standard
4275436,Acute myocardial infarction of high lateral wall,Condition,SNOMED,standard
4296653,Acute ST segment elevation myocardial infarction,Condition,SNOMED,standard
4303359,Acute myocardial infarction of septum,Condition,SNOMED,standard
4323202,Mixed myocardial ischemia and infarction,Condition,SNOMED,standard
4324413,Acute myocardial infarction of posterobasal wall,Condition,SNOMED,standard
4329847,Myocardial infarction,Condition,SNOMED,standard
35610087,Postoperative nontransmural myocardial infarction,Condition,SNOMED,standard
35610089,Postoperative transmural myocardial infarction,Condition,SNOMED,standard
35610091,Acute nontransmural myocardial infarction,Condition,SNOMED,standard
35610093,Acute transmural myocardial infarction,Condition,SNOMED,standard
35611570,Acute ST segment elevation myocardial infarction of inferolateral wall,Condition,SNOMED,standard
35611571,Acute ST segment elevation myocardial infarction of inferoposterior wall,Condition,SNOMED,standard
37109910,Ventricular aneurysm due to and following acute myocardial infarction,Condition,SNOMED,standard
37109911,Pulmonary embolism due to and following acute myocardial infarction,Condition,SNOMED,standard
37109912,Arrhythmia due to and following acute myocardial infarction,Condition,SNOMED,standard
37160791,Postoperative acute myocardial infarction,Condition,SNOMED,standard
37163020,Acute inferior non-ST segment elevation myocardial infarction,Condition,SNOMED,standard
37163023,Acute anterior non-ST segment elevation myocardial infarction,Condition,SNOMED,standard
37163084,Acute non-ST segment elevation myocardial infarction of right ventricle,Condition,SNOMED,standard
37163290,Subsequent inferior non-ST segment elevation myocardial infarction,Condition,SNOMED,standard
37172159,Acute ST segment elevation myocardial infarction due to mid left circumflex coronary artery occlusion,Condition,SNOMED,standard
37172160,Acute ST segment elevation myocardial infarction due to obtuse marginal branch of left circumflex coronary artery occlusion,Condition,SNOMED,standard
37172162,Acute ST segment elevation myocardial infarction due to posterolateral branch of left circumflex coronary artery occlusion,Condition,SNOMED,standard
37172163,Acute ST segment elevation myocardial infarction due to proximal left circumflex coronary artery occlusion,Condition,SNOMED,standard
37309626,Myocardial infarction due to demand ischemia,Condition,SNOMED,standard
43020460,Acute ST segment elevation myocardial infarction involving left anterior descending coronary artery,Condition,SNOMED,standard
44782712,Acute myocardial infarction due to right coronary artery occlusion,Condition,SNOMED,standard
44782769,Acute myocardial infarction due to left coronary artery occlusion,Condition,SNOMED,standard
45766075,Acute anterior ST segment elevation myocardial infarction,Condition,SNOMED,standard
45766076,Acute ST segment elevation myocardial infarction of anterior wall involving right ventricle,Condition,SNOMED,standard
45766113,Subsequent ST segment elevation myocardial infarction of anterior wall,Condition,SNOMED,standard
45766114,Subsequent ST segment elevation myocardial infarction,Condition,SNOMED,standard
45766115,Acute myocardial infarction during procedure,Condition,SNOMED,standard
45766116,Acute ST segment elevation myocardial infarction of inferior wall,Condition,SNOMED,standard
45766150,Acute myocardial infarction of anterior wall involving right ventricle,Condition,SNOMED,standard
45766151,Acute ST segment elevation myocardial infarction of inferior wall involving right ventricle,Condition,SNOMED,standard
45766212,Mitral valve regurgitation due to and following acute myocardial infarction,Condition,SNOMED,non-standard
45766214,Mitral valve regurgitation due to acute myocardial infarction without papillary muscle and chordal rupture,Condition,SNOMED,standard
45766241,Subsequent non-ST segment elevation myocardial infarction,Condition,SNOMED,standard
45771322,Acute myocardial infarction of inferior wall involving right ventricle,Condition,SNOMED,standard
45771327,Mitral valve regurgitation due to acute myocardial infarction with papillary muscle and chordal rupture,Condition,SNOMED,standard
45773170,Subsequent ST segment elevation myocardial infarction of inferior wall,Condition,SNOMED,standard
46270158,Acute ST segment elevation myocardial infarction of posterolateral wall,Condition,SNOMED,standard
46270159,Acute ST segment elevation myocardial infarction of anterolateral wall,Condition,SNOMED,standard
46270160,Acute ST segment elevation myocardial infarction of anteroseptal wall,Condition,SNOMED,standard
46270161,Acute ST segment elevation myocardial infarction of posterior wall,Condition,SNOMED,standard
46270162,Acute ST segment elevation myocardial infarction due to left coronary artery occlusion,Condition,SNOMED,standard
46270163,Acute ST segment elevation myocardial infarction due to right coronary artery occlusion,Condition,SNOMED,standard
46270164,Acute ST segment elevation myocardial infarction of septum,Condition,SNOMED,standard
46273495,Acute ST segment elevation myocardial infarction of posterobasal wall,Condition,SNOMED,standard
46274044,Acute ST segment elevation myocardial infarction of lateral wall,Condition,SNOMED,standard
